timestamp,word
1607281244.316343,Mr.
1607281244.5193412,and
1607281244.7204278,Mrs.
1607281244.9227548,"Dursley,"
1607281245.1230876,of
1607281245.3250186,number
1607281245.5267508,"four,"
1607281245.727793,Privet
1607281245.9288943,"Drive,"
1607281246.1305594,were
1607281246.3315794,proud
1607281246.5326812,to
1607281246.7337966,say
1607281246.9349623,that
1607281247.136107,they
1607281247.3373876,were
1607281247.5384266,perfectly
1607281247.7395217,"normal,"
1607281247.9406424,thank
1607281248.1421514,you
1607281248.3432508,very
1607281248.544353,much.
1607281248.7454875,They
1607281248.9465828,were
1607281249.1477268,the
1607281249.3488338,last
1607281249.5505888,people
1607281249.751646,you'd
1607281249.9527767,expect
1607281250.1538746,to
1607281250.354999,be
1607281250.5569825,involved
1607281250.7580936,in
1607281250.9592597,anything
1607281251.1602786,strange
1607281251.362126,or
1607281251.5633156,"mysterious,"
1607281251.7643979,because
1607281251.9655054,they
1607281252.1666298,just
1607281252.3677645,didn't
1607281252.5691917,hold
1607281252.7702434,with
1607281252.9714148,such
1607281253.1729715,nonsense.
1607281253.3740866,Mr.
1607281253.5752044,Dursley
1607281253.7762403,was
1607281253.977254,the
1607281254.1783805,director
1607281254.3801997,of
1607281254.5802867,a
1607281254.7803414,firm
1607281254.9813933,called
1607281255.1825001,"Grunnings,"
1607281255.3835979,which
1607281255.58478,made
1607281255.7862656,drills.
1607281255.9873157,He
1607281256.1884599,was
1607281256.3895662,a
1607281256.5907176,"big,"
1607281256.7917314,beefy
1607281256.9928634,man
1607281257.1940732,with
1607281257.3953817,hardly
1607281257.5963972,any
1607281257.7975388,"neck,"
1607281257.9986465,although
1607281258.1997912,he
1607281258.4009175,did
1607281258.6020443,have
1607281258.8032568,a
1607281259.0044308,very
1607281259.2055607,large
1607281259.4067109,mustache.
1607281259.6078532,Mrs.
1607281259.809175,Dursley
1607281260.0106537,was
1607281260.2117698,thin
1607281260.4129014,and
1607281260.6146343,blonde
1607281260.81601,and
1607281261.017041,had
1607281261.218219,nearly
1607281261.4192863,twice
1607281261.6204755,the
1607281261.8216023,usual
1607281262.0232882,amount
1607281262.2249203,of
1607281262.4259446,"neck,"
1607281262.6270409,which
1607281262.828189,came
1607281263.029334,in
1607281263.2304769,very
1607281263.4305649,useful
1607281263.632149,as
1607281263.833568,she
1607281264.034595,spent
1607281264.235781,so
1607281264.4369087,much
1607281264.6387036,of
1607281264.839804,her
1607281265.0409367,time
1607281265.24206,craning
1607281265.4432466,over
1607281265.6444366,garden
1607281265.845457,"fences,"
1607281266.046616,spying
1607281266.2477615,on
1607281266.4478536,the
1607281266.648912,neighbors.
1607281266.8500197,The
1607281267.0501068,Dursley
1607281267.2512171,s
1607281267.451304,had
1607281267.6524136,a
1607281267.85352,small
1607281268.0546532,son
1607281268.2564764,called
1607281268.4580107,Dudley
1607281268.6591592,and
1607281268.8603075,in
1607281269.0616992,their
1607281269.2628405,opinion
1607281269.463985,there
1607281269.6651568,was
1607281269.8662798,no
1607281270.067398,finer
1607281270.2685282,boy
1607281270.4697044,anywhere.
1607281270.6708984,The
1607281270.870979,Dursleys
1607281271.0723345,had
1607281271.2737625,everything
1607281271.4747798,they
1607281271.6758842,"wanted,"
1607281271.877058,but
1607281272.0781302,they
1607281272.2795887,also
1607281272.4809215,had
1607281272.682537,a
1607281272.8836355,"secret,"
1607281273.0847774,and
1607281273.2859046,their
1607281273.487074,greatest
1607281273.688391,fear
1607281273.8894138,was
1607281274.0909371,that
1607281274.2920518,somebody
1607281274.4931798,would
1607281274.6944518,discover
1607281274.895474,it.
1607281275.096582,They
1607281275.2976882,didn't
1607281275.4987857,think
1607281275.6998973,they
1607281275.9013147,could
1607281276.102253,bear
1607281276.3034337,it
1607281276.5045605,if
1607281276.7056668,anyone
1607281276.9067752,found
1607281277.1074555,out
1607281277.3092074,about
1607281277.510304,the
1607281277.7113495,Potters.
1607281277.9132187,Mrs.
1607281278.1148474,Potter
1607281278.3168664,was
1607281278.517996,Mrs.
1607281278.719153,Dursley's
1607281278.9202862,"sister,"
1607281279.121394,but
1607281279.3225412,they
1607281279.523672,hadn't
1607281279.724804,met
1607281279.9259067,for
1607281280.127043,several
1607281280.3289614,years;
1607281280.5299785,in
1607281280.7303522,"fact,"
1607281280.931765,Mrs.
1607281281.1328287,Dursley
1607281281.3339617,pretended
1607281281.5350587,she
1607281281.7361846,didn't
1607281281.937354,have
1607281282.1384788,a
1607281282.3396113,"sister,"
1607281282.540815,because
1607281282.741955,her
1607281282.9430707,sister
1607281283.144156,and
1607281283.3455553,her
1607281283.5477507,good-for-nothing
1607281283.7478366,husband
1607281283.9489365,were
1607281284.1500764,as
1607281284.3511977,unDursleyish
1607281284.5523005,as
1607281284.7534127,it
1607281284.954519,was
1607281285.1556315,possible
1607281285.3567617,to
1607281285.5578701,be.
1607281285.7589762,The
1607281285.9605772,Dursleys
1607281286.1615953,shuddered
1607281286.3626962,to
1607281286.5638206,think
1607281286.7650194,what
1607281286.966158,the
1607281287.1672564,neighbors
1607281287.3683608,would
1607281287.569472,say
1607281287.7712247,if
1607281287.972356,the
1607281288.1734846,Potters
1607281288.374593,arrived
1607281288.5757442,in
1607281288.7765248,the
1607281288.977582,street.
1607281289.1790178,The
1607281289.38103,Dursleys
1607281289.582169,knew
1607281289.7833161,that
1607281289.9844358,the
1607281290.1856136,Potters
1607281290.3868122,had
1607281290.5879495,a
1607281290.7890627,small
1607281290.9902098,"son,"
1607281291.1913908,"too,"
1607281291.3932025,but
1607281291.5942543,they
1607281291.7953832,had
1607281291.997239,never
1607281292.1982682,even
1607281292.3999014,seen
1607281292.6009178,him.
1607281292.8020241,Mr.
1607281293.0031729,and
1607281293.2043746,Mrs.
1607281293.4055164,"Dursley,"
1607281293.60665,of
1607281293.8067412,number
1607281294.0084958,"four,"
1607281294.2095194,Privet
1607281294.410627,"Drive,"
1607281294.6122189,were
1607281294.8132415,proud
1607281295.0149174,to
1607281295.216065,say
1607281295.417241,that
1607281295.6183763,they
1607281295.8194807,were
1607281296.0205855,perfectly
1607281296.2216923,"normal,"
1607281296.4228003,thank
1607281296.6239307,you
1607281296.8251026,very
1607281297.0262837,much.
1607281297.2281563,They
1607281297.4291792,were
1607281297.630309,the
1607281297.8316243,last
1607281298.0326977,people
1607281298.2338333,you'd
1607281298.4349864,expect
1607281298.6361299,to
1607281298.83728,be
1607281299.0384037,involved
1607281299.2395327,in
1607281299.4406998,anything
1607281299.641853,strange
1607281299.8429713,or
